
name                                  type_desc
----                                  ---------
ZzSelectActiveSessions                VIEW
ZzSelectAgentJobsStatus               VIEW
ZzSelectBackupHistory                 VIEW
ZzSelectBlockingProcesses             VIEW
ZzSelectCheckConstraints              VIEW
ZzSelectColumnDependencies            VIEW
ZzSelectDatabaseGrowth                VIEW
ZzSelectDatabasePermissions           VIEW
ZzSelectDatabaseProperties            VIEW
ZzSelectDefaultConstraints            VIEW
ZzSelectExpensiveQueries              VIEW
ZzSelectExtendedProperties            VIEW
ZzSelectFailedLogins                  VIEW
ZzSelectFileStats                     VIEW
ZzSelectFragmentedIndexes             VIEW
ZzSelectIdentityColumns               VIEW
ZzSelectIndexUsage                    VIEW
ZzSelectLogFileUsage                  VIEW
ZzSelectLongRunningQueries            VIEW
ZzSelectMissingIndexes                VIEW
ZzSelectObjectDependencies            VIEW
ZzSelectObjectsDetails                VIEW
ZzSelectObjectsOverview               VIEW
ZzSelectOrphanedUsers                 VIEW
ZzSelectProceduresFunctionsParameters VIEW
ZzSelectServerConfiguration           VIEW
ZzSelectTablesFks                     VIEW
ZzSelectTablesIndexes                 VIEW
ZzSelectTableSizes                    VIEW
ZzSelectTablesOverview                VIEW
ZzSelectTablesViewsColumns            VIEW
ZzSelectTempdbUsage                   VIEW
ZzSelectTriggers                      VIEW
ZzSelectUniqueAndPKConstraints        VIEW
ZzSelectUnusedIndexes                 VIEW
ZzSelectWaitStats                     VIEW

